,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__gamma,param_model__max_depth,param_model__min_child_weight,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
242,0.29627065658569335,0.07733053718931121,0.0051876544952392575,0.0023134855419937013,0.8,2.0,5,10,1.0,"{'model__colsample_bytree': 0.8, 'model__gamma': 2, 'model__max_depth': 5, 'model__min_child_weight': 10, 'model__subsample': 1.0}",-458.1168990704749,-532.8513301323856,-715.9115848154291,-1094.132355960311,-495.2099902384452,-659.2444320434091,234.807781557927,275,-1.6260908096891904,-4.985091040907163,-9.692708435220418,-15.567369982549685,-19.375596940719408,-10.249371441817171,6.541446186261853
243,0.18841423988342285,0.046335960053186194,0.005403661727905273,0.0024547252184195473,0.8,5.0,3,1,0.6,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__subsample': 0.6}",-353.9133024665517,-490.42791652200447,-614.1826114002799,-849.9706779216932,-401.40982844996114,-541.9808673520981,177.68407240807466,45,-5.089907425161353,-15.431459078864563,-29.650434030933443,-42.70488670183452,-48.17878071090676,-28.211093589540127,16.178742698611185
244,0.19081945419311525,0.060590934809857104,0.004773426055908203,0.0023651996402228033,0.8,5.0,3,1,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__subsample': 0.8}",-392.854883996027,-720.2249281593822,-602.225189425118,-925.4393590042661,-444.0069662445361,-616.9502653658658,192.9643124480173,201,-3.9886196812345305,-13.315361834226541,-27.376122350023234,-41.91302195284299,-46.42884755352486,-26.60439467437043,16.223626210443527
245,0.19794859886169433,0.044602013293988094,0.00786733627319336,0.00290971487191735,0.8,5.0,3,1,1.0,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__subsample': 1.0}",-398.4702398498195,-605.418333513954,-647.3354336907636,-1037.3761962540957,-470.2123646882377,-631.7625135993742,221.80294264311217,232,-4.939331068593215,-14.090659831712756,-27.214108785740105,-41.644954368642516,-48.9590417709554,-27.369619165128796,16.427788239296582
246,0.18926095962524414,0.05687438737152282,0.004467535018920899,0.000977835584419404,0.8,5.0,3,5,0.6,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__subsample': 0.6}",-344.79621359456564,-559.4864475088956,-637.7184154845149,-781.6417776962011,-442.0797192452766,-553.1445147058907,151.7553078909182,58,-4.966859166029395,-16.02897868108506,-28.029159797987045,-42.71824887916489,-49.05934073897976,-28.16051745264923,16.33294603894671
247,0.18268604278564454,0.06661571025873493,0.005189037322998047,0.0014792604345920132,0.8,5.0,3,5,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__subsample': 0.8}",-367.98481063169163,-659.1164134234988,-620.5408397302583,-916.8796755306586,-447.70842843667026,-602.4460335505555,190.43280214473882,159,-4.6959247267130975,-14.178147651384354,-26.991659085972426,-43.19181442016041,-47.54656555620943,-27.320822288087946,16.405446148683993
248,0.20057783126831055,0.07703167643889124,0.004810047149658203,0.0011363575478425302,0.8,5.0,3,5,1.0,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__subsample': 1.0}",-396.82572132398536,-633.9421407601039,-643.1755176685647,-1010.479008451526,-449.0119459253205,-626.6868668259001,215.4184051136466,218,-4.954466865032358,-15.054158267652822,-28.5584263091555,-42.58840442912122,-49.805478655481856,-28.192186905288754,16.656044066500822
249,0.22141456604003906,0.07054752644780185,0.006994819641113282,0.0036529467325138237,0.8,5.0,3,10,0.6,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__subsample': 0.6}",-364.539448737565,-536.455039518287,-626.5344308479723,-628.2762466710311,-435.13400738553634,-518.1878346320784,104.59244605560257,17,-6.04590291144683,-16.219794841748808,-31.609430234562414,-45.40416788770002,-51.19882087272827,-30.095623349637272,17.04649971573482
250,0.19462242126464843,0.0564361273201263,0.005366611480712891,0.003253499204428484,0.8,5.0,3,10,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__subsample': 0.8}",-355.2040076381632,-617.8879992662764,-596.9043210033091,-785.0411380391521,-460.93568358517496,-563.1946299064151,146.3287887947793,81,-5.243554291913102,-15.825413098282464,-29.663928775907266,-44.21309342599465,-47.78034494277806,-28.545266906975108,16.25721323573002
251,0.1864222526550293,0.055127286755041964,0.004660701751708985,0.0015872686103521611,0.8,5.0,3,10,1.0,"{'model__colsample_bytree': 0.8, 'model__gamma': 5, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__subsample': 1.0}",-434.36915935570494,-665.3038454938313,-649.3746622832647,-861.7151098809381,-435.34946416607437,-609.2224482359627,160.8199955338078,183,-6.04739666761764,-16.006276147073095,-29.81856704131366,-43.71873454797062,-49.32015250732945,-28.982225382260896,16.28420754123767
